precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CATANĂ MARIUS-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BREBEANU GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi"
16,DÂMBOVIŢA,"GRÃDINIŢA CU PROGRAM NORMAL BÃDENI",367,RUNCU,68716,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:56:07",814,794,1,2,17,368,349,0,2,17,350,18,880,512,100,250
16,DÂMBOVIŢA,"GRÃDINIŢA CU PROGRAM NORMAL BREBU",368,RUNCU,68716,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:44:44",534,524,1,5,4,308,299,0,5,4,302,6,580,272,41,261
16,DÂMBOVIŢA,"GRÃDINIŢA CU PROGRAM NORMAL RUNCU",365,RUNCU,68716,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:09:58",1161,1140,2,0,19,622,602,1,0,19,608,14,1248,626,272,336
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALÃ ”CONSTANTIN SECÃREANU” RUNCU",366,RUNCU,68716,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:08:00",1035,1024,0,3,8,510,499,0,3,8,497,13,1130,620,235,262
