precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MARIN ION-PARTIDUL SOCIAL DEMOCRAT-voturi","MUŞA DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi"
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.1 GOSTINARI",143,GOSTINARI,103372,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:38:30",1605,1473,1,91,40,1088,956,1,91,40,1065,23,1619,531,902,163
19,GIURGIU,"ŞCOALA PRIMARĂ NR.3 MIRONEŞTI",144,GOSTINARI,103372,3,PART,PRCNCT,P,P_SV,"2024-06-10 20:59:55",340,293,0,18,29,214,167,0,18,29,204,10,330,116,183,21
