precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BARCAN IULIANA-ALEXANDRA-PARTIDUL NAȚIONAL LIBERAL-voturi","ISTRATE STELIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ANGHEL ANDREEA-CORNELIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
34,SIBIU,"CĂMINUL CULTURAL",377,"TURNU ROŞU",145934,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:47:58",462,447,3,11,1,298,286,0,11,1,291,7,500,202,26,135,130
34,SIBIU,"CĂMINUL CULTURAL ”REGELE MIHAI I”",376,"TURNU ROŞU",145934,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:32:49",1584,1531,3,49,1,1063,1012,1,49,1,1040,23,1679,616,87,440,513
