precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
41,VRANCEA,"ȘCOALA I-IV NOUĂ",123,CÂMPINEANCA,174780,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 18:21:31",578,553,1,22,2,328,304,0,22,2,322,6,613,285,200,17,78,24,3
41,VRANCEA,"ȘCOALA I-IV NOUĂ",121,CÂMPINEANCA,174780,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 17:51:56",1740,1708,1,19,12,987,956,0,19,12,963,24,1877,890,554,46,216,126,21
41,VRANCEA,"ȘCOALA I-IV NOUĂ",122,CÂMPINEANCA,174780,4,PART,PRCNCT,CL,CL_SV,"2024-06-12 16:46:50",1628,1598,2,22,6,885,857,0,22,6,844,41,1759,874,434,45,218,125,22
