precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIMION ALEXANDRU-GEORGE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IONESCU ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","STOIAN CRISTIAN-FLORIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","CHIRU DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","EREMIA TOMA-MARIUS-PARTIDUL ROMÂNIA MARE-voturi","CIOCAN ANA-MARIA-PARTIDUL MIȘCAREA POPULARĂ-voturi","FLOROAEI ANIŞOARA-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ROMAN IOAN-voturi"
14,CONSTANŢA,"CĂMINUL CULTURAL LUMINA",478,LUMINA,63152,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:48:07",1658,1637,0,19,2,864,845,0,17,2,840,19,1830,971,69,235,31,285,20,103,30,67
14,CONSTANŢA,"GRĂDINIȚA LUMINA",477,LUMINA,63152,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:11:51",1915,1904,0,6,5,934,923,0,6,5,911,23,2105,1171,79,260,41,267,23,113,53,75
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ NR.1 LUMINA - CLĂDIREA C8",479,LUMINA,63152,1,PROV,PRCNCT,P,P_SV,"2024-06-10 14:03:01",1957,1936,4,14,3,998,981,0,14,3,971,27,2112,1111,93,254,43,339,6,135,32,69
14,CONSTANŢA,"ȘCOALA NOUĂ LUMINA",476,LUMINA,63152,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:22:35",1904,1891,2,8,3,957,946,0,8,3,912,40,2118,1161,102,289,49,250,11,80,30,101
14,CONSTANŢA,"ȘCOALA OITUZ",480,LUMINA,63152,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:15",690,687,1,2,0,369,367,0,2,0,361,8,756,387,35,105,2,183,5,11,5,15
14,CONSTANŢA,"ȘCOALA SIBIOARA",481,LUMINA,63152,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:58:53",374,366,1,7,0,217,210,0,7,0,211,6,400,183,17,55,12,97,2,13,1,14
14,CONSTANŢA,"ȘCOALA VECHE LUMINA",475,LUMINA,63152,1,PROV,PRCNCT,P,P_SV,"2024-06-10 16:44:30",1666,1597,1,66,2,837,769,0,66,2,811,26,1765,928,92,240,25,274,20,86,33,41
