precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
15,COVASNA,"CENTRUL MULTIFUNCŢIONAL BELIN VALE",102,BELIN,63866,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:24:14",1186,1184,1,0,1,693,692,0,0,1,629,64,1288,595,13,3,45,523,43,2
15,COVASNA,"GRĂDINIȚA CU PROGRAM NORMAL BELIN",101,BELIN,63866,4,PART,PRCNCT,CL,CL_SV,"2024-06-13 11:04:01",1078,1035,0,4,39,717,674,0,4,39,695,22,1186,469,42,15,414,84,10,130
