precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CROITORU CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","PERŞINARU VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VÂRLAN ADRIAN-LAURENŢIU-PARTIDUL NAȚIONAL LIBERAL-voturi","IONIŢĂ GHEORGHIŢĂ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
10,BUZĂU,"CĂMINUL CULTURAL",134,AMARU,44863,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:30",193,184,0,7,2,132,123,0,7,2,129,3,208,76,71,8,47,3
10,BUZĂU,"CĂMINUL CULTURAL",133,AMARU,44863,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:06:34",408,393,0,7,8,252,237,0,7,8,248,4,428,176,158,9,78,3
10,BUZĂU,"CAMINUL CULTURAL LUNCA",135,AMARU,44863,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:00:02",285,274,0,9,2,156,145,0,9,2,150,6,300,144,116,7,25,2
10,BUZĂU,"CASA DE CULTURĂ AMARU",132,AMARU,44863,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:57:07",903,886,1,2,14,553,537,0,2,14,537,16,968,415,386,33,78,40
