precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ROMÂNIA MARE-voturi"
16,DÂMBOVIŢA,"CĂMIN CULTURAL MOŢĂIENI",309,MOŢĂIENI,65645,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:10:34",1315,1278,2,6,29,790,755,0,6,29,767,23,1432,642,444,292,31
16,DÂMBOVIŢA,"ŞCOALA CUCUTENI",310,MOŢĂIENI,65645,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 20:40:05",333,317,1,0,15,224,208,1,0,15,218,5,360,136,154,60,4
