precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NICĂ ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANUŢA VALENTIN-MARIUS-PARTIDUL NAȚIONAL LIBERAL-voturi","MATEI DUMITRU-DĂNUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi"
30,OLT,"SCOALA GIMNAZIALA OLARI",275,PÂRŞCOVENI,128178,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:24:45",1138,1073,0,30,35,705,640,0,30,35,684,21,1215,510,13,270,401
30,OLT,"SCOALA GIMNAZIALA PIRSCOVENI",274,PÂRŞCOVENI,128178,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:56:17",1438,1298,0,95,45,964,824,0,95,45,935,29,1420,456,24,397,514
