precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREA ION-PARTIDUL SOCIAL DEMOCRAT-voturi","PAVEL MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BREZOAELE",153,BREZOAELE,101341,2,PART,PRCNCT,P,P_SV,"2024-06-12 17:47:56",1080,1031,2,27,20,853,806,0,27,20,835,17,1156,303,492,343
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BREZOAIA",155,BREZOAELE,101341,2,PART,PRCNCT,P,P_SV,"2024-06-12 18:03:28",990,963,0,10,17,814,787,0,10,17,796,18,1062,248,506,290
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BREZOAIA",154,BREZOAELE,101341,2,PART,PRCNCT,P,P_SV,"2024-06-12 17:54:48",790,770,0,11,9,644,624,0,11,9,629,15,857,213,401,228
