precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - CORP B (SALA CĂSĂTORII)",31,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:40:41",1042,1032,4,6,0,469,463,0,6,0,461,8,1150,681,38,88,237,98
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - SERVICIUL TAXE ȘI IMPOZITE, BLOC E4",29,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:04:26",800,791,1,8,0,379,371,0,8,0,363,16,870,491,33,52,218,60
16,DÂMBOVIŢA,"BIROURI PRIMĂRIE - SERVICIUL TAXE ȘI IMPOZITE (PUNCT TERMIC)",30,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:16:23",795,788,2,5,0,379,374,0,5,0,363,16,870,491,44,56,199,64
16,DÂMBOVIŢA,"CĂMINUL CULTURAL ”MATEI VOIEVOD”",64,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:43",1407,1397,3,7,0,600,593,0,7,0,586,14,1540,940,63,107,373,43
16,DÂMBOVIŢA,"CANTINA DE AJUTOR SOCIAL",24,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:29:22",938,928,0,10,0,378,368,0,10,0,369,9,1020,642,37,40,258,34
16,DÂMBOVIŢA,"CASA CORPULUI DIDACTIC",1,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:58:35",1528,1518,0,10,0,603,593,0,10,0,569,34,1683,1080,50,57,365,97
16,DÂMBOVIŢA,"CASA CORPULUI DIDACTIC",2,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:59:24",1543,1537,1,4,1,719,715,0,4,0,700,19,1710,991,40,115,423,122
16,DÂMBOVIŢA,"COLEGIUL ECONOMIC ”ION GHICA”",32,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:17:55",976,951,15,9,1,467,457,0,9,1,452,15,1050,583,39,49,272,92
16,DÂMBOVIŢA,"COLEGIUL ECONOMIC ”ION GHICA”",33,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:45:29",1180,1170,0,9,1,539,529,0,9,1,522,17,1290,751,36,99,308,79
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ”CONSTANTIN CARABELLA”",13,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:07",1004,998,0,6,0,490,484,0,6,0,473,17,1110,620,32,87,274,80
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL ”IENĂCHIȚĂ VĂCĂRESCU”",34,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:38:53",1512,1504,3,5,0,674,669,0,5,0,657,17,1660,986,45,79,396,137
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL PEDAGOGIC ”CONSTANTIN CANTACUZINO”",53,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:40:08",677,667,0,10,0,286,276,0,10,0,283,3,734,448,38,18,199,28
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL PEDAGOGIC ”CONSTANTIN CANTACUZINO”",54,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:06:17",748,740,2,6,0,300,294,0,6,0,292,8,820,520,35,28,198,31
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL PEDAGOGIC ”CONSTANTIN CANTACUZINO”",52,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:46:37",1384,1377,0,7,0,615,608,0,7,0,596,19,1520,905,55,59,424,58
16,DÂMBOVIŢA,"COLEGIUL NAȚIONAL PEDAGOGIC ”CONSTANTIN CANTACUZINO”",51,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:21",1232,1226,0,6,0,403,397,0,6,0,384,19,1360,957,36,34,281,33
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 11 ”PRISEACA”",65,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:25:09",1180,1175,3,2,0,572,570,0,2,0,552,20,1290,718,49,94,368,41
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”ALEXANDRINA SIMIONESCU-GHICA”",59,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:50:36",418,412,0,6,0,232,226,0,6,0,226,6,450,218,24,29,143,30
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 13",18,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:56:48",1170,1164,1,5,0,503,498,0,5,0,491,12,1270,767,37,53,329,72
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 13",17,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:30:06",1399,1394,0,5,0,545,540,0,5,0,529,16,1550,1005,53,70,363,43
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 2",3,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:40:49",1479,1471,2,6,0,630,624,0,6,0,610,20,1630,1000,61,84,390,75
16,DÂMBOVIŢA,"LICEUL DE ARTE ”BĂLAȘA DOAMNA”",11,"MUNICIPIUL TÂRGOVIŞTE",65342,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:52:55",978,973,0,5,0,401,396,0,5,0,386,15,1070,669,39,44,258,45
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”CONSTANTIN BRÂNCOVEANU”",23,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:04",677,668,1,8,0,236,228,0,8,0,226,10,740,504,22,32,147,25
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”CONSTANTIN BRÂNCOVEANU”",21,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:11:28",1312,1307,0,5,0,515,510,0,5,0,495,20,1450,935,49,77,325,44
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”CONSTANTIN BRÂNCOVEANU”",19,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:39:31",768,758,0,10,0,302,292,0,10,0,292,10,840,538,36,34,200,22
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”CONSTANTIN BRÂNCOVEANU”",22,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:52",777,773,0,4,0,284,280,0,4,0,270,14,860,576,36,29,196,9
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”CONSTANTIN BRÂNCOVEANU”",20,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:07:32",858,852,1,5,0,284,279,0,5,0,274,10,940,656,33,32,185,24
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",41,"MUNICIPIUL TÂRGOVIŞTE",65342,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:18:59",1701,1692,0,9,0,475,466,0,9,0,464,11,1900,1425,55,45,304,60
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",42,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:31:36",1272,1262,3,7,0,546,538,1,7,0,530,16,1390,844,49,77,331,73
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",44,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:35:12",1222,1218,0,4,0,492,488,0,4,0,481,11,1340,848,48,46,338,49
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",43,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:57:08",1273,1268,1,4,0,564,560,0,4,0,541,23,1400,836,58,52,376,55
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",40,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:29:25",1446,1442,0,4,0,570,566,0,4,0,553,17,1600,1030,62,63,350,78
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC ”NICOLAE CIORĂNESCU”",49,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:00:32",1522,1511,2,9,0,445,436,0,9,0,414,31,1660,1215,54,44,261,55
