precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VELCOTA ROXANA ANDREIA-PARTIDUL NAȚIONAL LIBERAL-voturi","PRĂSNESCU GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","SCHINTEIE IOAN-VIOREL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ CĂRBUNARI",197,CĂRBUNARI,51840,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:31:00",526,454,0,54,18,408,336,0,54,18,404,4,563,155,5,235,164
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ CLASELE I-IV ȘI GRĂDINIȚA DE COPII ȘTINĂPARI",198,CĂRBUNARI,51840,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:05:39",320,264,0,45,11,253,197,0,45,11,249,4,322,69,2,137,110
