precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MAIOR LIVIU-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
5,BIHOR,"CLĂDIREA MUZEULUI",195,"ORAŞ SĂCUENI",30915,3,PART,PRCNCT,CL,CL_SV,"2024-06-15 22:23:47",1465,1439,7,9,10,781,761,1,9,10,726,54,1580,800,5,6,37,43,318,13,304
5,BIHOR,"CLUBUL TINERETULUI",197,"ORAŞ SĂCUENI",30915,3,PART,PRCNCT,CL,CL_SV,"2024-06-15 22:28:40",753,711,1,6,35,551,510,0,6,35,512,25,824,287,3,1,5,13,77,4,409
5,BIHOR,"GRĂDINIȚĂ CU PROGRAM PRELUNGIT",193,"ORAŞ SĂCUENI",30915,3,PART,PRCNCT,CL,CL_SV,"2024-06-15 22:13:13",1179,1161,2,11,5,675,659,0,11,5,655,20,1284,609,11,3,39,44,222,10,326
5,BIHOR,"GRĂDINIȚA DE LA LOCUL DE CASĂ",194,"ORAŞ SĂCUENI",30915,5,PART,PRCNCT,CL,CL_SV,"2024-06-15 22:21:57",876,862,2,7,5,492,480,0,7,5,478,14,955,463,12,1,57,49,158,19,182
5,BIHOR,"GRĂDINIȚA ȘI ȘCOALA CU CLASELE I-IV",192,"ORAŞ SĂCUENI",30915,3,PART,PRCNCT,CL,CL_SV,"2024-06-15 22:11:02",1487,1473,1,7,6,975,962,0,7,6,850,125,1640,665,7,0,38,69,254,4,478
5,BIHOR,"ȘCOALA CU CLASELE I-IV",191,"ORAŞ SĂCUENI",30915,3,PART,PRCNCT,CL,CL_SV,"2024-06-15 22:09:07",1153,1132,5,10,6,674,658,0,10,6,622,41,1252,589,14,3,22,49,208,15,311
5,BIHOR,"ŞCOALA GENERALĂ",198,"ORAŞ SĂCUENI",30915,6,PART,PRCNCT,CL,CL_SV,"2024-06-15 22:29:49",714,691,0,11,12,464,441,0,11,12,446,18,765,301,5,1,17,33,81,10,299
5,BIHOR,"ŞCOALA GENERALĂ",199,"ORAŞ SĂCUENI",30915,2,PART,PRCNCT,CL,CL_SV,"2024-06-15 22:30:57",435,422,0,9,4,276,263,0,9,4,254,22,471,195,4,0,30,7,64,11,138
5,BIHOR,"ŞCOALA GENERALĂ",200,"ORAŞ SĂCUENI",30915,2,PART,PRCNCT,CL,CL_SV,"2024-06-15 22:31:58",720,702,3,6,9,434,419,0,6,9,404,30,794,360,6,0,6,22,89,5,276
5,BIHOR,"ŞCOALA GENERALĂ",196,"ORAŞ SĂCUENI",30915,5,PART,PRCNCT,CL,CL_SV,"2024-06-17 18:50:23",881,853,1,9,18,522,495,0,9,18,470,50,962,442,16,0,19,16,102,8,309
