precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
11,CARAŞ-SEVERIN,"CLĂDIREA AFTER SCHOOL",262,LĂPUŞNICEL,53069,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:18:14",406,328,0,32,46,276,198,0,32,46,272,4,409,133,62,40,63,12,65,30
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ PÂRVOVA",263,LĂPUŞNICEL,53069,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:59:45",393,317,0,53,23,285,209,0,53,23,277,8,399,114,27,4,9,63,9,165
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ ŞUMIŢA",264,LĂPUŞNICEL,53069,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:33:13",48,41,0,5,2,48,41,0,5,2,48,0,79,31,8,3,12,9,14,2
