precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
32,"SATU MARE","PRIMARIA COM. CAMARZANA",161,CĂMĂRZANA,137274,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 16:53:44",1062,1011,2,7,42,417,366,2,7,42,393,24,1200,783,125,145,95,28
32,"SATU MARE","SCOALA GENERALA CAMARZANA",162,CĂMĂRZANA,137274,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:11:27",920,877,0,6,37,390,347,0,6,37,376,14,956,566,69,224,58,25
