county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-faza-2","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-mandate-g8","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-voturi","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-mandate-faza-2","UNIUNEA DEMOCRATICĂ A SLOVACILOR ȘI CEHILOR DIN ROMÂNIA-mandate-g8","PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi","PARTIDUL PATRIOȚII POPORULUI ROMÂN-mandate-faza-1","PARTIDUL PATRIOȚII POPORULUI ROMÂN-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-mandate-faza-1","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-mandate-faza-2","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-mandate-faza-1","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","VAIDA NICOLAE-voturi","VAIDA NICOLAE-mandate-faza-1","VAIDA NICOLAE-mandate-faza-2","TURCAN CLAUDIU-PAŞCU-voturi","TURCAN CLAUDIU-PAŞCU-mandate-faza-1","TURCAN CLAUDIU-PAŞCU-mandate-faza-2","PARTIDUL ALIANȚA RENAȘTEREA NAȚIONALĂ-voturi","PARTIDUL ALIANȚA RENAȘTEREA NAȚIONALĂ-mandate-faza-1","PARTIDUL ALIANȚA RENAȘTEREA NAȚIONALĂ-mandate-faza-2","CORB FLORIN-voturi","CORB FLORIN-mandate-faza-1","CORB FLORIN-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","VANCSA GHEORGHE-voturi","VANCSA GHEORGHE-mandate-faza-1","VANCSA GHEORGHE-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-1","PARTIDUL ALTERNATIVA DREAPTĂ-mandate-faza-2","PEK IOSIF-voturi","PEK IOSIF-mandate-faza-1","PEK IOSIF-mandate-faza-2","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL OAMENILOR TINERI-mandate-faza-1","PARTIDUL OAMENILOR TINERI-mandate-faza-2","ALIANȚA PENTRU LUGAȘ-voturi","ALIANȚA PENTRU LUGAȘ-mandate-faza-1","ALIANȚA PENTRU LUGAȘ-mandate-faza-2","DEGĂU ALEXANDRU-SILVIU-voturi","DEGĂU ALEXANDRU-SILVIU-mandate-faza-1","DEGĂU ALEXANDRU-SILVIU-mandate-faza-2","CIARNĂU CLAUDIU-IOAN-voturi","CIARNĂU CLAUDIU-IOAN-mandate-faza-1","CIARNĂU CLAUDIU-IOAN-mandate-faza-2","ROXIN ALEXANDRU-TRAIAN-voturi","ROXIN ALEXANDRU-TRAIAN-mandate-faza-1","ROXIN ALEXANDRU-TRAIAN-mandate-faza-2","STAN MIHAELA-voturi","STAN MIHAELA-mandate-faza-1","STAN MIHAELA-mandate-faza-2","ALIC ARTHUR-AMADEUS-voturi","ALIC ARTHUR-AMADEUS-mandate-faza-1","ALIC ARTHUR-AMADEUS-mandate-faza-2","UNIUNEA CREȘTIN DEMOCRATĂ DIN ROMÂNIA-voturi","UNIUNEA CREȘTIN DEMOCRATĂ DIN ROMÂNIA-mandate-faza-1","UNIUNEA CREȘTIN DEMOCRATĂ DIN ROMÂNIA-mandate-faza-2","BADEA CRISTIAN-MARCEL-voturi","BADEA CRISTIAN-MARCEL-mandate-faza-1","BADEA CRISTIAN-MARCEL-mandate-faza-2","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-mandate-faza-1","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-mandate-faza-2","MAIOR LIVIU-voturi","MAIOR LIVIU-mandate-faza-1","MAIOR LIVIU-mandate-faza-2","TIPEA IONUŢ-ALEXANDRU-voturi","TIPEA IONUŢ-ALEXANDRU-mandate-faza-1","TIPEA IONUŢ-ALEXANDRU-mandate-faza-2","HEGEDÜS HAJNALKA-KATALIN-voturi","HEGEDÜS HAJNALKA-KATALIN-mandate-faza-1","HEGEDÜS HAJNALKA-KATALIN-mandate-faza-2","PARTIDUL SATULUI ROMÂNESC-voturi","PARTIDUL SATULUI ROMÂNESC-mandate-faza-1","PARTIDUL SATULUI ROMÂNESC-mandate-faza-2","POPA IOAN-voturi","POPA IOAN-mandate-faza-1","POPA IOAN-mandate-faza-2","SZABÓ LÁSZLÓ-LEHEL-voturi","SZABÓ LÁSZLÓ-LEHEL-mandate-faza-1","SZABÓ LÁSZLÓ-LEHEL-mandate-faza-2","CUC FLORIN-FRANCISC-voturi","CUC FLORIN-FRANCISC-mandate-faza-1","CUC FLORIN-FRANCISC-mandate-faza-2","UNIUNEA NAȚIUNII ROMÂNE-voturi","UNIUNEA NAȚIUNII ROMÂNE-mandate-faza-1","UNIUNEA NAȚIUNII ROMÂNE-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-g8","COTUNA DANTES-RAUL-voturi","COTUNA DANTES-RAUL-mandate-faza-1","COTUNA DANTES-RAUL-mandate-faza-2","VUŞCAN IOAN-CRISTIAN-voturi","VUŞCAN IOAN-CRISTIAN-mandate-faza-1","VUŞCAN IOAN-CRISTIAN-mandate-faza-2"
5,BIHOR,ABRAM,27070,1,FINAL,UAT,CL,CL_CE,"2024-06-10 06:58:47",2410,2290,6,52,62,1454,1339,3,51,61,1417,37,2634,1180,70,99,113,125,141,1,0,1009,8,0,73,0,0,1,160,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BIHOR,AŞTILEU,26742,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:27:51",2908,2859,5,37,7,1837,1792,1,37,7,1783,54,3122,1285,89,124,142,131,0,0,0,1317,10,0,0,0,0,0,285,2,0,0,0,0,111,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BIHOR,AUŞEU,27212,2,FINAL,UAT,CL,CL_CE,"2024-06-13 18:11:11",2341,2285,5,16,35,1382,1329,2,16,35,1344,37,2543,1162,67,94,107,118,183,1,0,678,5,1,0,0,0,0,359,3,0,0,0,0,84,0,0,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BIHOR,"AVRAM IANCU",27285,2,FINAL,UAT,CL,CL_CE,"2024-06-11 16:21:33",2656,2605,2,37,12,1775,1726,0,37,12,1736,39,2864,1082,86,121,138,133,161,1,0,717,5,0,0,0,0,0,731,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BIHOR,BALC,27329,1,FINAL,UAT,CL,CL_CE,"2024-06-10 13:58:08",2504,2404,0,49,51,1623,1523,0,49,51,1524,99,2682,1059,76,106,121,117,98,0,1,750,6,0,214,1,1,0,462,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BIHOR,BATĂR,27383,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:17:57",4244,4152,2,51,39,2222,2130,2,51,39,2061,160,4622,2401,103,144,164,122,100,0,0,342,2,1,225,1,1,0,1107,9,0,0,0,0,0,0,0,0,157,1,0,0,0,0,0,0,0,70,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BIHOR,BIHARIA,27436,2,FINAL,UAT,CL,CL_CE,"2024-06-15 11:22:09",4038,3856,83,8,91,2410,2309,2,8,91,2306,67,4437,2027,115,161,184,162,36,0,0,258,1,1,1857,11,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BIHOR,"BOIANU MARE",27506,1,FINAL,UAT,CL,CL_CE,"2024-06-10 07:24:53",969,938,0,5,26,670,639,0,5,26,644,26,1053,383,32,45,51,71,0,0,0,307,4,0,0,0,0,0,337,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BIHOR,BOROD,27560,2,FINAL,UAT,CL,CL_CE,"2024-06-15 11:31:30",3061,2979,10,71,1,1998,1924,2,71,1,1933,65,3317,1319,96,135,154,144,0,0,0,373,2,1,0,0,0,0,1347,9,0,0,0,0,160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BIHOR,BORŞ,27631,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:34:20",3916,3766,31,18,101,2287,2169,1,18,99,2264,22,3936,1650,113,158,181,164,0,0,0,138,0,1,2002,12,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,29,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BIHOR,BRATCA,27686,1,FINAL,UAT,CL,CL_CE,"2024-06-10 18:16:48",3749,3596,4,91,58,2747,2598,0,91,58,2656,83,4082,1342,132,185,212,204,227,1,0,1183,5,1,0,0,0,0,1246,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
