precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ROMÂNIA MARE-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL PRO ROMÂNIA-voturi"
33,SĂLAJ,"CAMINUL CULTURAL CRISTUR-CRISENI",132,CRIŞENI,140823,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:00:43",437,418,0,7,12,293,274,0,7,12,292,1,500,207,3,5,11,56,6,0,205,0,6
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ ” VASILE BREBAN ”” CRIȘENI",131,CRIŞENI,140823,4,PART,PRCNCT,CL,CL_SV,"2024-06-13 12:55:50",1672,1610,4,36,22,1210,1152,0,36,22,1191,19,1735,525,8,78,354,484,34,68,30,64,71
33,SĂLAJ,"ȘCOALA PRIMARĂ GÎRCEIU",133,CRIŞENI,140823,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:05:15",700,663,3,14,20,459,425,0,14,20,441,18,770,311,80,6,125,124,18,2,82,0,4
