precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
38,TULCEA,"GRĂDINIŢA CU PROGRAM NORMAL",167,NICULIŢEL,161035,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:37",1196,1192,0,1,3,542,538,0,1,3,514,23,1308,771,95,223,85,30,81
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”NICHIFOR LUDOVIG”",166,NICULIŢEL,161035,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:58:07",1158,1152,1,2,3,523,518,0,2,3,508,15,1275,751,99,210,93,20,86
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”NICHIFOR LUDOVIG”",165,NICULIŢEL,161035,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:43:29",1241,1237,1,0,3,569,569,0,0,0,557,12,1366,797,95,242,62,36,122
