precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi"
7,BOTOŞANI,"SCOALA GENERALA CU CLASELE I-IV COSTINESTI",288,LEORDA,37850,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:29:55",168,159,0,7,2,128,119,0,7,2,121,7,200,72,27,72,3,1,18
7,BOTOŞANI,"SCOALA GENERALA NR. 1 LEORDA",287,LEORDA,37850,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:58:40",1104,1059,0,0,45,733,688,0,0,45,712,21,1200,467,276,350,39,12,35
7,BOTOŞANI,"ȘCOALA PRIMARĂ NR. 3, DOLINA",289,LEORDA,37850,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:12:16",887,870,0,8,9,467,450,0,8,9,455,12,962,495,100,291,60,1,3
