precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NIŢĂ CRISTINEL-MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MĂCRINEANU ANA-CORNELIA-PARTIDUL NAȚIONAL LIBERAL-voturi","MARINIUC DANIELA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
9,BRĂILA,"CENTRU EDUCATIONAL VIZIRU",279,VIZIRU,44505,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:11:52",1676,1665,0,7,4,987,976,0,7,4,946,33,1800,821,250,597,99
9,BRĂILA,"SCOALA CU CLASELE I-VIII VIZIRU",278,VIZIRU,44505,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:05",1408,1400,0,8,0,855,847,0,8,0,837,18,1550,695,284,411,142
9,BRĂILA,"ȘCOALA LANURILE",281,VIZIRU,44505,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:00",900,898,1,1,0,510,509,0,1,0,492,18,1000,490,172,225,95
9,BRĂILA,"ȘCOALA LANURILE",280,VIZIRU,44505,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:36:19",886,879,0,7,0,518,511,0,7,0,495,23,979,461,165,248,82
