precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL SACU",310,SACU,53755,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:57:32",713,651,1,24,37,465,403,1,24,37,455,10,712,247,49,287,85,12,22
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL TINCOVA",312,SACU,53755,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:33:54",400,376,0,12,12,225,201,0,12,12,211,14,413,188,42,104,40,3,22
11,CARAŞ-SEVERIN,"ȘCOALA PRIMARĂ SĂLBĂGELU NOU",311,SACU,53755,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:30:37",218,208,0,9,1,124,114,0,9,1,113,11,232,108,40,22,23,26,2
