precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL-DALBOSET",229,DALBOŞEŢ,52570,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:29:24",806,737,2,25,42,590,523,0,25,42,573,14,860,273,68,213,50,55,63,73,48,3
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL ȘOPOTU VECHI",230,DALBOŞEŢ,52570,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:54:13",539,487,0,11,41,352,300,0,11,41,337,15,526,174,25,213,28,10,1,3,3,54
