precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","MEIŢESCU DANIELA-MARIA-voturi","POPESCU DAN-voturi"
34,SIBIU,"CĂMIN CULTURAL BUNGRAD",363,ŞELIMBĂR,143557,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:10:47",510,499,1,10,0,313,303,0,10,0,286,27,550,237,91,24,81,14,4,18,12,25,17
34,SIBIU,"CĂMIN CULTURAL MOHU",364,ŞELIMBĂR,143557,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:06:21",613,601,0,7,5,335,323,0,7,5,319,16,662,327,60,20,118,32,0,21,10,42,16
34,SIBIU,"CĂMIN CULTURAL VEȘTEM",365,ŞELIMBĂR,143557,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:44",1468,1437,3,25,3,941,913,0,25,3,885,56,1590,649,294,56,294,14,1,130,30,39,27
34,SIBIU,"GRĂDINIȚA CU PROGRAM PRELUNGIT",357,ŞELIMBĂR,143557,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 20:44:15",1782,1748,13,21,0,918,897,0,21,0,895,12,1900,982,82,41,297,18,7,308,50,54,38
34,SIBIU,"GRĂDINITA CU PROGRAM PRELUNGIT”DOAMNA STANCA” ȘELIMBĂR",360,ŞELIMBĂR,143557,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:43:27",736,712,7,17,0,302,285,0,17,0,300,2,780,478,18,13,147,7,0,86,6,14,9
34,SIBIU,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”DOAMNA STANCA”ȘELIMBĂR",361,ŞELIMBĂR,143557,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:32:53",1933,1884,32,17,0,963,946,0,17,0,932,31,2080,1117,88,64,378,20,14,264,36,33,35
34,SIBIU,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”DOAMNA STANCA”ȘELIMBĂR",362,ŞELIMBĂR,143557,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:31:36",709,685,11,13,0,283,269,1,13,0,278,5,750,467,28,20,90,12,0,83,9,21,15
34,SIBIU,"GRĂDINIȚA CU PROGRAM PRELUNGIT ȘELIMBĂR, CORP NOU, PARTER",358,ŞELIMBĂR,143557,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:55:29",2000,1958,18,23,1,1040,1015,1,23,1,1023,17,2140,1100,175,63,294,33,7,293,32,71,55
34,SIBIU,"ȘCOALA GENERALĂ”MIHAI VITEAZU”ȘELIMBĂR, CORP B",355,ŞELIMBĂR,143557,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:47:23",1911,1865,25,21,0,976,955,0,21,0,954,22,2084,1108,164,37,268,34,3,235,62,99,52
34,SIBIU,"ŞCOALA GIMNAZIALĂ `MIHAI VITEAZU~ ŞELIMBĂR",356,ŞELIMBĂR,143557,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:25:55",1905,1858,24,22,1,1047,1024,0,22,1,1031,16,2020,973,195,64,340,19,12,194,37,93,77
34,SIBIU,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZU” ȘELIMBĂR",359,ŞELIMBĂR,143557,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:14:19",1114,1073,9,32,0,596,564,0,32,0,585,11,1160,564,59,24,168,13,4,222,5,61,29
