precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA TINERILOR DEMOCRAȚI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL REDUTA-RESPECT,EDUCAȚIE, DEMNITATE, UNITATE, TRADIȚIE, ADEVĂR-voturi","BLOCUL SUVERANIST ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ACUM-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","GOGORICI ROBERT-FLORIN-voturi","HANŢIG ŞTEFANIA-AFRODITA-voturi"
25,ILFOV,"CASA DE CULTURĂ",121,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:46:04",1802,1770,13,16,3,934,914,1,16,3,907,27,2000,1066,78,559,44,29,17,85,8,1,8,9,10,46,6,7
25,ILFOV,"CREȘA PRICHINDEL NR. 3",105,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:57:03",1975,1959,0,16,0,650,634,0,16,0,635,15,2200,1550,62,115,64,80,31,231,2,1,1,6,5,16,5,16
25,ILFOV,"FOSTUL SEDIU AL PRIMĂRIEI",125,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:51:32",1851,1781,37,22,11,961,928,0,22,11,929,32,2000,1039,103,529,46,21,57,66,4,8,6,12,8,42,16,11
25,ILFOV,"PRIMĂRIA ORAŞULUI VOLUNTARI",126,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:29:50",1526,1505,0,21,0,864,843,0,21,0,841,23,1715,851,58,561,40,10,38,53,3,4,4,10,7,39,7,7
25,ILFOV,"SALA DE SPORT ”ANDREEA ISĂRESCU”",112,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:19:53",1872,1833,25,10,4,911,897,0,10,4,885,26,2100,1189,75,557,40,30,20,67,7,1,2,14,11,40,14,7
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",119,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:01:14",1897,1874,1,15,7,1062,1040,0,15,7,958,103,2100,1038,100,645,37,20,39,55,4,3,5,14,3,0,16,17
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",116,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:45:08",1764,1720,0,31,13,1024,980,0,31,13,994,30,2000,976,91,650,50,15,31,71,9,2,9,8,22,15,10,11
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",117,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:57:53",1706,1675,4,24,3,804,777,0,24,3,779,25,1900,1096,84,439,52,15,25,79,8,5,3,9,4,37,5,14
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",114,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:16:56",1532,1513,3,13,3,776,760,0,13,3,755,21,1700,924,57,476,32,15,14,83,7,2,5,7,3,41,5,8
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",113,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:27:31",1381,1348,13,15,5,698,678,0,15,5,684,14,1600,902,65,384,32,26,7,112,6,1,3,15,2,17,6,8
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",115,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:48:30",1905,1848,11,34,12,986,940,0,34,12,951,35,2100,1114,77,552,47,36,25,111,4,4,14,10,7,34,19,11
25,ILFOV,"ŞCOALA GIMNAZIALĂ ANTON PANN",118,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:37:41",1771,1753,2,8,8,904,888,0,8,8,879,25,2000,1096,101,563,36,19,13,46,5,1,4,19,7,54,5,6
25,ILFOV,"ȘCOALA GIMNAZIALĂ ANTON PANN",120,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:06:04",1792,1764,15,13,0,858,845,0,13,0,841,17,2000,1142,73,452,52,36,14,126,6,1,3,11,8,33,11,15
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 2",122,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:32:06",1900,1863,6,21,10,988,957,0,21,10,958,30,2200,1212,80,587,48,17,31,64,9,4,8,10,10,44,33,13
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 2",123,"ORAŞ VOLUNTARI",179551,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:03:10",1909,1824,44,36,5,1067,1026,0,36,5,1028,39,2100,1033,87,636,38,22,18,86,8,5,5,10,8,47,46,12
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 2",124,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:13:53",1793,1767,0,17,9,1004,978,0,17,9,976,28,2000,996,87,568,52,28,43,88,4,3,8,18,4,48,19,6
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 3",109,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:51",1716,1660,50,6,0,720,713,1,6,0,703,17,1900,1180,71,169,78,71,14,235,3,0,3,2,2,14,7,34
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 3",106,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:01:04",2165,1859,299,7,0,660,652,1,7,0,655,5,2100,1440,56,117,107,74,20,242,2,1,0,12,1,3,7,13
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 3",107,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:00:29",1894,1676,202,16,0,622,604,2,16,0,610,12,1800,1178,46,157,80,45,37,189,2,1,3,8,3,13,8,18
25,ILFOV,"ŞCOALA GIMNAZIALĂ NR. 3",108,"ORAŞ VOLUNTARI",179551,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:42:57",1849,1769,63,16,1,773,756,0,16,1,756,17,2000,1227,79,294,66,48,42,110,11,2,3,5,4,23,10,59
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 3",111,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:30:38",2009,1889,108,12,0,731,716,3,12,0,716,15,2200,1469,48,155,123,73,36,229,3,1,2,5,2,9,8,22
25,ILFOV,"ȘCOALA GIMNAZIALĂ NR. 3",110,"ORAŞ VOLUNTARI",179551,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:06:06",1997,1849,139,8,1,739,729,1,8,1,727,12,2100,1361,59,147,94,72,43,254,0,2,6,7,1,12,5,25
