precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BALÁZSI DÉNES-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BORZOS SAMUIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TÓKOS ERNŐ-FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
15,COVASNA,"CĂMINUL CULTURAL TĂLIŞOARA",118,BRĂDUŢ,64041,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:03:53",609,581,1,3,24,394,367,0,3,24,391,3,700,306,369,1,21
15,COVASNA,"CLUBUL CĂMINULUI CULTURAL BRĂDUŢ",115,BRĂDUŢ,64041,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:54:38",686,653,0,6,27,471,438,0,6,27,461,10,800,329,426,2,33
15,COVASNA,"CLUBUL CĂMINULUI CULTURAL DOBOŞENI",116,BRĂDUŢ,64041,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:06",1567,1522,1,7,37,838,794,0,7,37,786,52,1700,862,557,211,18
15,COVASNA,"CLUBUL CĂMINULUI CULTURAL FILIA",117,BRĂDUŢ,64041,3,PART,PRCNCT,P,P_SV,"2024-06-10 08:59:32",938,885,0,0,53,629,580,0,0,49,623,6,954,325,599,0,24
