precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞOTEA AUREL-MIHAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANTON SILVIU-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","COSTEA DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi"
30,OLT,"GRĂDINIȚA GĂNEASA",201,GĂNEASA,127064,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:01:08",1521,1461,0,32,28,983,923,0,32,28,904,21,1630,705,43,209,652
30,OLT,"ȘCOALA GIMNAZIALĂ DRANOVĂȚU",202,GĂNEASA,127064,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:47:34",892,831,1,39,21,637,576,1,39,21,622,15,926,289,25,63,534
30,OLT,"ŞCOALA PRIMARĂ IZVORU",203,GĂNEASA,127064,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:50:21",604,574,0,16,14,481,451,0,16,14,470,11,627,146,10,31,429
