precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STAN FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","SOARE MIHĂIŢĂ-LAURENŢIU-PARTIDUL NAȚIONAL LIBERAL-voturi","SOARE CLAUDIU-ŞTEFAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUMITRU GABRIELA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ENE NICOLAE-voturi"
23,IALOMIŢA,"ŞCOALA GENERALĂ NR. 1",181,MUNTENI-BUZĂU,94107,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:26",1456,1434,0,11,11,879,857,0,11,11,855,24,1600,721,448,226,119,57,5
23,IALOMIŢA,"ŞCOALA GENERALĂ NR. 2",182,MUNTENI-BUZĂU,94107,2,PART,PRCNCT,P,P_SV,"2024-06-12 16:00:59",1222,1204,1,7,10,662,645,0,7,10,633,29,1327,665,325,111,133,54,10
