precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORȚA DREPTEI-voturi"
28,MUREŞ,"CENTRUL COMUNITAR DE SERVICII INTEGRATE LIVEZENI",433,LIVEZENI,117925,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:50:35",1450,1426,18,5,1,794,788,0,5,1,767,27,1550,756,115,55,377,166,54
28,MUREŞ,"CENTRUL COMUNITAR DE SERVICII INTEGRATE LIVEZENI",432,LIVEZENI,117925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:37:05",1056,1039,6,5,6,601,587,3,5,6,583,18,1150,549,59,11,398,106,9
28,MUREŞ,"ȘCOALA PRIMARĂ IVĂNEȘTI",434,LIVEZENI,117925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:17:15",446,435,1,10,0,205,195,0,10,0,194,11,480,275,27,59,70,33,5
28,MUREŞ,"ȘCOALA PRIMARĂ POIENIȚA",435,LIVEZENI,117925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:49:36",282,270,0,12,0,153,141,0,12,0,141,12,300,147,11,3,37,87,3
28,MUREŞ,"ȘCOALA PRIMARĂ SÂNIȘOR",436,LIVEZENI,117925,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:27:59",231,221,0,7,3,127,117,0,7,3,122,5,236,109,4,4,88,23,3
