precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IONETE LAURENŢIU-OCTAVIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","VLĂDUŢI-PĂTRAŞCU PETRICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi"
27,MEHEDINŢI,"ŞCOALA GIMNAZIALĂ BĂLĂCIŢA",110,BĂLĂCIŢA,110535,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:52:11",703,552,0,105,46,657,506,0,105,46,638,15,1056,383,335,303
27,MEHEDINŢI,"ŞCOALA GIMNAZIALĂ GVARDINIŢA",112,BĂLĂCIŢA,110535,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:56:52",780,648,0,83,49,563,431,0,83,49,559,4,770,207,215,344
27,MEHEDINŢI,"ŞCOALA PRIMARĂ DOBRA",111,BĂLĂCIŢA,110535,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:49",418,324,0,77,17,314,220,0,77,17,308,5,360,47,143,165
