precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
4,BACĂU,"ŞCOALA GIMNAZIALĂ BUCIUMI",287,BUCIUMI,26338,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:04:07",1132,1130,2,0,0,549,549,0,0,0,508,41,1200,651,79,335,94
4,BACĂU,"ŞCOALA GIMNAZIALĂ RĂCĂUŢI",288,BUCIUMI,26338,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:21:48",1308,1303,0,0,5,789,784,0,0,5,727,62,1400,611,146,550,31
