precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
20,GORJ,"ȘCOALA GENERALĂ SĂCELU",289,SĂCELU,81754,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:33:37",753,709,0,40,4,561,517,0,40,4,541,20,800,239,148,28,139,141,50,6,22,7
20,GORJ,"ȘCOALA PRIMARĂ ”ÎNVĂȚĂTOR GRIGORE MAGHERESCU”",290,SĂCELU,81754,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:45:12",468,443,1,21,3,361,337,0,21,3,344,17,462,101,97,39,42,99,18,11,38,0
