precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HOLMANU CONSTANTIN-AUGUSTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","TANASĂ MARIAN-IONUŢ-UNIUNEA SALVAȚI ROMÂNIA-voturi","LOGHIN VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi"
29,NEAMŢ,"ŞCOALA GIMNAZIALA ”VLAD DANULESCU ” PANCESTI",345,PÂNCEŞTI,125141,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:22:01",951,925,0,1,25,560,534,0,1,25,533,27,1000,440,346,108,79
29,NEAMŢ,"ŞCOALA PRIMARA CIUREA",346,PÂNCEŞTI,125141,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:33:43",199,186,0,11,2,122,109,0,11,2,118,4,310,188,100,10,8
