precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LUPEA AURELIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OPREA GELAL-PARTIDUL NAȚIONAL LIBERAL-voturi","VEIHEMER ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","POPA PETRIŞOR-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DĂNILĂ VALENTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","NACHE ARISTIDE-voturi"
23,IALOMIŢA,"ŞCOALA NOUĂ",168,MANASIA,100736,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:59:38",1302,1284,3,15,0,713,698,0,15,0,697,16,1400,687,42,44,276,53,268,14
23,IALOMIŢA,"ŞCOALA NOUĂ",169,MANASIA,100736,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:55:02",1231,1221,0,8,2,662,652,0,8,2,647,15,1350,688,47,47,267,50,220,16
23,IALOMIŢA,"ŞCOALA NOUĂ",170,MANASIA,100736,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:28:28",1141,1131,0,10,0,606,596,0,10,0,599,7,1257,651,37,55,236,85,173,13
