precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIMION AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","RĂDULESCU CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","NUICĂ IONUŢ-EDUARD-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHEORGHIU ANDREI-FLORIN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","NIŢU MARIANA-FORȚA DREPTEI-voturi","CĂLINOIU ANDREI-IONUŢ-PARTIDUL ROMÂNIA MARE-voturi","NICOLAE ION-PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"ANEXĂ PRIMĂRIE",303,MILCOIU,171469,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:02:03",267,225,0,15,27,175,133,0,15,27,162,13,270,95,28,112,15,3,2,1,1
40,VÂLCEA,"AȘEZĂMÂNT CULTURAL BĂILE GOVORA ( FOST CINEMATOGRAF)",115,"ORAŞ BĂILE GOVORA",167641,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:58:10",1212,1085,1,120,6,823,697,0,120,6,800,23,1220,397,166,514,44,50,9,6,11
40,VÂLCEA,"BLOC B1 - LICEUL TEHNOLOGIC DE TURISM CĂLIMĂNEŞTI",139,"ORAŞ CĂLIMĂNEŞTI",167909,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:05:43",899,892,1,6,0,491,484,1,6,0,468,23,990,499,118,271,34,34,4,2,5
40,VÂLCEA,"CAMIN CULTURAL",314,"NICOLAE BĂLCESCU",171628,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:26:04",680,660,1,12,7,416,398,0,12,6,395,21,716,300,49,313,11,8,4,1,9
40,VÂLCEA,"CĂMIN CULTURAL(ATENEU SĂTESC)",343,PRUNDENI,172457,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:19:41",1180,1146,0,33,1,685,651,0,33,1,642,40,1260,578,162,393,39,15,16,5,12
40,VÂLCEA,"CĂMIN CULTURAL FÂRTĂŢEŞTI",221,FÂRTĂŢEŞTI,169681,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:16:20",333,300,0,24,9,248,215,0,24,9,236,12,380,132,14,167,42,7,0,1,5
40,VÂLCEA,"CĂMIN CULTURAL(FOSTUL CĂMIN CULTURAL DIN CURTEA PRIMĂRIEI)",320,ORLEŞTI,171879,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:07:45",1453,1407,0,1,45,923,877,0,1,45,855,68,1550,627,444,282,23,10,75,3,18
40,VÂLCEA,"CĂMIN CULTURAL GREBLEŞTI",189,CÂINENI,169119,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:19:11",579,536,0,37,6,371,328,0,37,6,350,21,600,229,235,45,51,8,4,2,5
40,VÂLCEA,"CĂMIN CULTURAL RUDA",179,BUDEŞTI,168791,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:12:29",469,458,0,11,0,277,266,0,11,0,260,17,510,233,101,118,17,1,6,2,15
40,VÂLCEA,"CĂMIN CULTURAL VOICEŞTI",427,VOICEŞTI,174218,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:16:53",1286,1168,3,55,60,905,796,1,48,60,876,29,1290,385,187,568,71,20,8,2,20
40,VÂLCEA,"CĂMINUL CULTURAL BALOTA",347,RACOVIŢA,172509,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 16:24:40",345,334,0,10,1,169,158,0,10,1,160,9,360,191,81,69,2,1,6,1,0
40,VÂLCEA,"CĂMINUL CULTURAL BĂRBĂTEŞTI",166,BĂRBĂTEŞTI,168559,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:26:43",1161,1152,0,9,0,696,687,0,9,0,657,39,1270,574,225,361,44,9,5,2,11
40,VÂLCEA,"CĂMINUL CULTURAL BÂRLOGU",378,STOENEŞTI,173230,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:18:34",305,270,0,35,0,233,198,0,35,0,225,8,300,67,41,141,15,18,1,3,6
40,VÂLCEA,"CĂMINUL CULTURAL BLIDARI",248,GOLEŞTI,170220,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:16:38",880,856,0,20,4,649,625,0,20,4,627,22,940,291,275,308,23,12,5,1,3
