precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ZAMFIR CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","DRUŢĂ IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPESCU IOAN-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
18,GALAŢI,"ŞCOALA NR. 1 BARCEA",222,BARCEA,75515,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:14:44",1056,1050,0,4,2,531,525,0,4,2,511,20,1161,630,330,15,166
18,GALAŢI,"ŞCOALA NR. 2 BARCEA",219,BARCEA,75515,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:39:04",819,817,0,0,2,387,385,0,0,2,376,11,902,515,246,17,113
18,GALAŢI,"ŞCOALA NR. 2 BARCEA",220,BARCEA,75515,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:08:09",880,873,0,7,0,405,398,0,7,0,392,13,962,557,259,14,119
18,GALAŢI,"ŞCOALA NR. 3 BARCEA",221,BARCEA,75515,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:08:11",1011,1003,2,4,2,506,500,0,4,2,491,15,1105,599,304,16,171
18,GALAŢI,"ŞCOALA NR. 4 PODOLENI",223,BARCEA,75515,3,PART,PRCNCT,P,P_SV,"2024-06-10 08:01:00",1323,1311,0,6,6,699,687,0,6,6,689,10,1446,747,339,61,289
