precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ANGHEL LAURENŢIU-PARTIDUL SOCIAL DEMOCRAT-voturi","FOTA MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUŞE IOANA-PARTIDUL NAȚIONAL LIBERAL-voturi"
20,GORJ,"ŞCOALA CU CLASELE I-IV PĂIŞANI",311,STOINA,82314,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:48",722,631,1,88,2,531,440,1,88,2,521,10,677,146,155,316,50
20,GORJ,"ȘCOALA PRIMARĂ STOINA",310,STOINA,82314,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:38:09",1272,1170,0,95,7,878,776,0,95,7,851,20,1300,429,401,321,129
