precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEGREI IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","DANCHICI IRINA-MARGARETA-PARTIDUL SOCIAL DEMOCRAT-voturi","STOICU LUCIAN-VIOREL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"GRĂDINIŢA PN VINGA",414,VINGA,12643,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:47:54",1678,1645,3,9,21,850,820,0,9,21,826,24,1820,970,519,60,247
2,ARAD,"PRIMĂRIA COMUNEI VINGA",412,VINGA,12643,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:39:07",913,887,1,15,10,500,474,1,15,10,482,18,1000,500,337,51,94
2,ARAD,"ŞCOALA GENERALĂ MAILAT",415,VINGA,12643,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:52:37",855,821,3,16,15,404,372,1,16,15,371,33,913,509,231,92,48
2,ARAD,"ŞCOALA GENERALĂ MĂNĂŞTUR",416,VINGA,12643,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:05:51",1004,988,3,5,8,568,554,1,5,8,525,29,1090,536,332,160,33
2,ARAD,"ŞCOALA GIMNAZIALĂ NR. 2 VINGA",413,VINGA,12643,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:44:36",1379,1362,2,11,4,635,618,2,11,4,612,23,1500,865,368,86,158
