precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SEVASTIAN NICOLETA-PARTIDUL NAȚIONAL LIBERAL-voturi","ASOFRONIE CARMEN-LUDMIZA-PARTIDUL SOCIAL DEMOCRAT-voturi"
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”IOAN NENIȚESCU ” PARTIZANI",149,MALIUC,160779,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:01:48",326,316,0,3,7,212,202,0,3,7,209,3,351,139,188,21
38,TULCEA,"ŞCOALA GIMNAZIALĂ MALIUC",147,MALIUC,160779,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:11:50",314,299,2,9,4,196,182,1,9,4,192,4,331,135,173,19
38,TULCEA,"ȘCOALA PRIMARĂ GORGOVA",148,MALIUC,160779,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:47:36",114,111,0,3,0,70,67,0,3,0,69,1,122,52,53,16
