precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ NR. 1 PERIŞORU - CORP B",186,PERIŞORU,94223,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 14:50:01",1869,1838,3,12,16,1118,1089,1,12,16,1053,65,2000,882,299,191,555,8,0
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ NR. 1 PERIŞORU- CORP B",187,PERIŞORU,94223,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 16:14:27",1711,1665,0,10,36,884,843,0,10,31,884,0,1907,1023,227,187,458,2,10
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA NR. 2 PERIŞORU",188,PERIŞORU,94223,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:34:20",633,617,0,7,9,384,368,0,7,9,373,11,628,244,58,45,188,75,7
