precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
21,HARGHITA,"CABANA OCOLULUI SILVIC",66,"MUNICIPIUL TOPLIŢA",83632,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:55:09",68,56,1,11,0,28,17,0,11,0,27,1,200,172,16,3,2,2,3,0,1
21,HARGHITA,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU” TOPLIŢA",62,"MUNICIPIUL TOPLIŢA",83632,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:55:25",969,960,0,8,1,433,424,0,8,1,426,7,1000,567,96,136,21,139,22,4,8
21,HARGHITA,"GRĂDINIŢA VOINICEL NR.1 TOPLIŢA",60,"MUNICIPIUL TOPLIŢA",83632,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:19:49",1025,1021,2,2,0,445,443,0,2,0,423,22,1100,655,73,116,32,154,36,3,9
21,HARGHITA,"LICEUL ”O.C.TĂSLĂUANU” TOPLIŢA",64,"MUNICIPIUL TOPLIŢA",83632,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:13:41",1206,1203,2,1,0,458,457,0,1,0,433,25,1300,842,81,118,22,161,38,5,8
21,HARGHITA,"LICEUL TEORETIC ”KEMENY JANOS” TOPLIŢA",59,"MUNICIPIUL TOPLIŢA",83632,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:08:21",1344,1336,0,8,0,660,652,0,8,0,637,23,1500,840,152,155,55,238,27,5,5
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA” CĂLIMĂNEL",65,"MUNICIPIUL TOPLIŢA",83632,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:16:53",969,960,0,9,0,448,439,0,9,0,428,20,998,550,12,186,18,149,32,3,28
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”ANDREI ŞAGUNA” VALE",61,"MUNICIPIUL TOPLIŢA",83632,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:53:22",1511,1502,0,8,1,782,773,0,8,1,755,27,1700,918,43,402,24,238,29,3,16
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”MIRON CRISTEA” TOPLIŢA",57,"MUNICIPIUL TOPLIŢA",83632,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:03:28",1521,1510,0,1,10,675,664,0,1,10,618,46,1700,1036,91,236,36,188,51,3,13
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”MIRON CRISTEA” TOPLIŢA",58,"MUNICIPIUL TOPLIŢA",83632,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:39:04",1535,1523,0,0,12,721,709,0,0,12,708,13,1700,979,100,226,51,277,38,6,10
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”SF. ILIE” TOPLIŢA",63,"MUNICIPIUL TOPLIŢA",83632,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:08:02",1018,1010,0,8,0,431,423,0,8,0,413,18,1100,669,86,95,27,167,30,2,6
21,HARGHITA,"ŞCOALA GIMNAZIALĂ ”SF. ILIE” ZENCANI",67,"MUNICIPIUL TOPLIŢA",83632,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:03:39",1529,1521,1,7,0,677,670,0,7,0,652,25,1600,923,110,199,26,233,50,11,23
