precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"SALA DE SPORT A SCOLII GIMNAZIALE NICOLAE TITULESCU",21,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:36:41",1404,1393,1,9,1,536,526,0,9,1,511,25,1532,996,220,35,88,97,15,32,7,17
12,CĂLĂRAŞI,"SALA DE SPORT A SCOLII GIMNAZIALE NICOLAE TITULESCU",20,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:15:50",710,701,0,7,2,334,325,0,7,2,324,0,772,438,141,32,66,54,6,12,5,8
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA CAROL I CALARASI",2,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:57:18",612,603,0,8,1,317,308,0,8,1,302,15,683,366,135,52,48,29,4,10,9,15
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA CAROL I CALARASI",1,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:26:53",1336,1324,1,11,0,634,623,0,11,0,600,34,1482,848,240,75,135,90,6,14,4,36
12,CĂLĂRAŞI,"SCOALA GIMNAZIALĂ ” CAROL I” CĂLĂRAŞI",7,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:09:51",1368,1359,5,4,0,497,493,0,4,0,490,7,1495,998,226,35,88,91,9,25,6,10
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA C-TIN BRÂNCOVEANU",45,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:30:46",1248,1240,2,6,0,588,582,0,6,0,560,28,1368,730,259,41,95,118,0,26,14,7
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA C-TIN BRÂNCOVEANU",46,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:55:58",1056,1038,5,8,5,441,428,0,8,5,431,10,1147,706,205,31,74,76,6,22,8,9
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA C-TIN BRÂNCOVEANU",47,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:15:11",1162,1154,3,4,1,542,537,0,4,1,520,22,1270,728,231,40,74,109,5,30,12,19
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIHAI VITEAZUL CALARASI",17,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:02:38",1115,1105,1,9,0,459,450,0,9,0,432,27,1216,746,195,39,81,83,5,12,11,6
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIHAI VITEAZUL CALARASI",19,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:06:51",681,673,0,8,0,282,274,0,8,0,273,9,741,459,135,23,59,33,3,9,3,8
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIHAI VITEAZUL CALARASI",16,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:41:37",1275,1268,0,6,1,600,593,0,6,1,576,23,1395,683,267,54,116,81,9,25,11,13
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIHAI VITEAZUL CALARASI",18,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:11:54",1258,1252,2,3,1,525,521,0,3,1,508,17,1407,882,244,45,97,75,4,15,13,15
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIRCEA VODĂ",39,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:12",1038,1031,0,7,0,498,491,0,7,0,479,19,1134,636,222,35,84,95,6,15,13,9
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIRCEA VODĂ",36,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:02:53",1184,1179,1,4,0,580,576,0,4,0,557,23,1320,740,248,65,97,92,11,21,8,15
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIRCEA VODĂ",38,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 19:58:44",1464,1452,4,8,0,704,696,0,8,0,686,18,1641,937,332,70,96,108,12,28,22,18
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALA MIRCEA VODĂ",37,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:13:49",1135,1122,0,13,0,577,564,0,13,0,556,21,1234,648,288,36,58,116,12,27,10,9
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ SPECIALĂ NR. 1",5,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:31:43",1109,1086,12,11,0,521,510,0,11,0,511,10,1190,669,231,62,98,64,1,19,7,29
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ SPECIALĂ NR. 1",6,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:08:16",973,962,2,9,0,412,403,0,9,0,380,32,1058,646,192,27,39,77,5,19,10,11
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”TUDOR VLADIMIRESCU” CĂLĂRAŞI",33,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:45:58",1301,1297,0,4,0,585,581,0,4,0,565,20,1427,842,269,51,103,83,5,19,11,24
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”TUDOR VLADIMIRESCU” CĂLĂRAŞI",30,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:10:14",1373,1368,0,5,0,700,695,0,5,0,677,23,1505,805,275,78,126,124,18,19,20,17
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”TUDOR VLADIMIRESCU” CĂLĂRAŞI",32,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:49:05",1154,1150,0,4,0,591,587,0,4,0,576,15,1303,712,280,50,114,71,18,13,9,21
12,CĂLĂRAŞI,"ŞCOALA GIMNAZIALĂ ”TUDOR VLADIMIRESCU” CĂLĂRAŞI",31,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:21:47",1234,1230,0,4,0,1234,1230,0,4,0,571,17,1352,764,274,59,113,73,8,16,15,13
12,CĂLĂRAŞI,"ŞCOALA PRIMARA NR.6",48,"MUNICIPIUL CĂLĂRAŞI",92569,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:53:48",963,951,1,9,2,470,459,0,9,2,457,12,1053,584,239,24,65,77,7,18,15,12
12,CĂLĂRAŞI,"ŞCOALA PRIMARA NR.6",49,"MUNICIPIUL CĂLĂRAŞI",92569,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:59",957,948,0,9,0,437,428,0,9,0,421,16,1055,618,188,21,73,107,5,18,2,7
