precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD-PUSL-voturi","ALIANȚA MIȘCAREA, NOI PLOIEȘTENII - REPER-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi"
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL",565,ŞOIMARI,135501,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:32:26",564,559,1,2,2,386,381,1,2,2,355,31,600,214,53,56,14,2,58,100,0,72
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL BLEJOI, SAT BLEJOI, NR. 511",334,BLEJOI,130678,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:53:35",1613,1595,4,12,2,935,921,0,12,2,901,34,1800,865,306,104,119,11,23,272,38,28
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL BUDA NR. 46 A",298,"ARICEŞTII RAHTIVANI",132075,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:11:02",446,440,0,6,0,267,261,0,6,0,252,14,550,284,99,47,11,4,17,64,8,2
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL CASUTA FERMECATA SAT RACHIERI",605,"VALEA CĂLUGĂREASCĂ",135949,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:05:41",1204,1197,0,7,0,638,631,0,7,0,581,57,1300,662,316,65,9,1,14,170,3,3
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL-CLADIRE ANEXA",547,SÂNGERU,135244,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:20:34",1107,1100,0,7,0,603,596,0,7,0,548,55,1208,605,67,99,23,1,24,323,2,9
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL FÂNTÂNELE",408,FÂNTÂNELE,133278,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:55:35",537,516,0,11,10,537,516,0,11,10,473,43,867,351,87,77,36,1,19,225,12,16
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL FÂNTÂNELE",407,FÂNTÂNELE,133278,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:55:09",798,785,0,6,7,515,502,0,6,7,459,56,867,352,55,76,63,6,34,198,9,18
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL FUNDENI",448,"GURA VITIOAREI",131835,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:16:28",478,466,0,10,2,305,293,0,10,2,283,22,515,210,167,22,15,0,14,60,5,0
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL GHIOȘEȘTI",230,"ORAŞ COMARNIC",131336,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:00:29",1579,1569,1,4,5,950,941,0,4,5,919,31,1596,646,524,156,35,2,38,157,3,4
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL GURA BELIEI ”ALBINUŢA”",214,"ORAŞ BREAZA",131103,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:58:05",1044,1032,0,8,4,528,516,0,8,4,513,15,1100,572,249,95,30,2,24,101,10,2
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL ”JERCĂLĂI” ORAȘUL URLAȚI",273,"ORAŞ URLAŢI",131620,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:03:43",744,737,0,6,1,313,306,0,6,1,289,24,800,487,93,43,10,0,42,93,4,4
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL MALAMUC, NUMĂRUL 149C",431,GHERGHIŢA,133429,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:55:49",327,302,0,7,18,231,206,0,7,18,218,13,356,125,20,17,7,0,13,156,2,3
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL NEDELEA NR. 47A",299,"ARICEŞTII RAHTIVANI",132075,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:20:38",817,801,0,16,0,509,493,0,16,0,475,34,920,411,165,71,34,6,18,161,15,5
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL, NR.1",200,"ORAŞ BOLDEŞTI-SCĂENI",131069,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:55:46",1435,1413,0,5,17,874,853,0,5,16,762,112,1645,771,383,109,31,2,24,195,8,10
31,PRAHOVA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",280,"ORAŞ VĂLENII DE MUNTE",131817,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:10:10",1424,1412,1,1,10,774,763,0,1,10,741,33,1614,840,99,77,57,2,32,354,10,110
