precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BADEA IONELA-UNIUNEA SALVAȚI ROMÂNIA-voturi","MARINESCU GINO-EDWARD-PARTIDUL NAȚIONAL LIBERAL-voturi","IONESCU MARINICĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MIU IULIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
3,ARGEŞ,"ŞCOALA COLŢU",503,UNGHENI,19560,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:20",556,514,0,42,0,392,350,0,42,0,383,9,543,151,2,11,1,369
3,ARGEŞ,"ŞCOALA CU CLASELE I-VIII UNGHENI",502,UNGHENI,19560,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:40:36",543,525,0,15,3,308,290,0,15,3,299,9,557,249,2,58,32,207
3,ARGEŞ,"SOCIETATEA AGRICOLA ALBINA",504,UNGHENI,19560,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:29:17",1021,990,0,31,0,633,602,0,31,0,618,15,1040,407,3,78,74,463
