precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CROITORIU CRISTINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","MANCAŞ IOAN-PETRONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","MOALEŞ NECULAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NEMCIUC IOAN-ALEXANDRU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","APOPII CIPRIAN-ADRIAN-PARTIDUL S.O.S. ROMÂNIA-voturi"
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA” - SAT OANȚU",348,PÂNGĂRAŢI,123601,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:12:01",1276,1255,0,3,18,766,745,0,3,18,740,26,1400,634,454,207,19,30,30
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA” - SAT PÎNGĂRĂCIOR",349,PÂNGĂRAŢI,123601,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:46:06",1695,1667,3,7,18,945,919,1,7,18,895,25,1800,880,261,488,24,104,18
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA” -SAT PÎNGĂRAȚI - PUNCT CASTEL",347,PÂNGĂRAŢI,123601,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:01",620,602,1,11,6,342,325,0,11,6,329,13,700,358,139,153,15,17,5
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA” - SAT STEJARU",350,PÂNGĂRAŢI,123601,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:56",882,864,3,7,8,443,428,0,7,8,421,22,1000,557,201,130,14,56,20
