precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIRON VASILE-AURELIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RACOLŢA IOAN-VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi"
13,CLUJ,"CĂMINUL CULTURAL BOGATA",368,CĂLĂRAŞI,56425,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:07",910,902,2,3,3,462,456,0,3,3,446,16,996,534,206,240
13,CLUJ,"CAMINUL CULTURAL CALARASI",367,CĂLĂRAŞI,56425,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:50",765,755,1,7,2,414,405,0,7,2,404,10,834,420,54,350
13,CLUJ,"CAMINUL CULTURAL CALARASI -GARA",369,CĂLĂRAŞI,56425,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:44:53",296,291,4,0,1,178,175,2,0,1,171,7,330,152,22,149
