precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA BULGARĂ DIN BANAT- ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL ROVINIŢA MARE",378,DENTA,156669,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:36:04",332,316,0,8,8,247,231,0,8,8,240,7,430,183,90,122,9,7,5,3,4
37,TIMIŞ,"SCOALA GIMNAZIALA DENTA",376,DENTA,156669,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:51:04",986,955,1,8,22,567,537,0,8,22,533,34,1000,431,142,202,21,51,56,28,33
37,TIMIŞ,"SCOALA GIMNAZIALA DENTA",375,DENTA,156669,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:43:17",1006,989,2,6,9,618,603,0,6,9,592,26,1000,382,189,195,33,34,57,46,38
37,TIMIŞ,"ŞCOALA PRIMARA BRESTEA",377,DENTA,156669,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:04:00",392,383,0,8,1,237,228,0,8,1,223,14,500,263,19,112,8,68,11,2,3
