precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CUPŞA OVIDIU-SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CONSTANTINESCU HORIA-MIRON-PARTIDUL SOCIAL DEMOCRAT-voturi","CHIŢAC VERGIL-PARTIDUL NAȚIONAL LIBERAL-voturi","CRUCERU VICTOR-PARTIDUL ROMÂNIA MARE-voturi","BÎLBĂ ADRIAN-PARTIDUL ECOLOGIST ROMÂN-voturi","ESERGHEP GIHAN-ERDAL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","MITULESCU MARIUS-AURELIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","POPESCU CEZARA-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ION STELIAN-CRISTIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BERECHET VALENTIN-voturi","OVANESIAN FELICIA-NADINA-voturi","PRISĂCARU SORIN-voturi","POPESCU GEORGE-ANDREI-voturi","VOINEAGU EUGEN-voturi"
14,CONSTANŢA,"AGENȚIA FISCALĂ NR.1-4",135,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:34",1364,1360,0,3,1,617,613,0,3,1,593,24,1500,883,56,137,171,4,15,6,17,9,124,18,26,2,6,2
14,CONSTANŢA,"AGENȚIA FISCALĂ NR.1-4",134,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:14:30",1574,1562,0,12,0,688,676,0,12,0,671,17,1700,1012,69,115,210,4,13,7,8,9,173,6,47,3,5,2
14,CONSTANŢA,"ANEXĂ LA COLEGIUL NAŢIONAL ”MIRCEA CEL BĂTRÂN”",200,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:38:05",573,562,3,8,0,265,257,0,8,0,262,3,900,635,22,34,71,1,3,1,6,5,95,5,9,2,3,5
14,CONSTANŢA,"ANEXĂ LA COLEGIUL NAŢIONAL ”MIRCEA CEL BĂTRÂN”",199,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:01:51",582,572,0,10,0,258,248,0,10,0,251,6,900,643,27,46,61,1,6,5,5,4,68,6,12,1,6,3
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",34,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:55:49",1224,1220,1,3,0,448,445,0,3,0,436,12,1400,952,88,157,71,6,7,7,18,3,44,8,13,7,5,2
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",35,"MUNICIPIUL CONSTANŢA",60419,2,PART,PRCNCT,P,P_SV,"2024-06-10 19:17:13",1044,1040,0,4,0,418,414,0,4,0,405,12,1100,683,45,99,98,2,7,9,17,6,69,7,32,1,7,6
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",37,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:26",1726,1720,0,6,0,690,684,0,6,0,674,16,1900,1210,94,187,180,7,11,10,27,6,90,10,30,6,6,10
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",36,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:42:47",1107,1104,0,3,0,450,447,0,3,0,439,11,1200,750,37,122,109,2,13,12,18,10,72,8,31,4,0,1
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",33,"MUNICIPIUL CONSTANŢA",60419,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:19:23",1521,1515,1,5,0,620,615,0,5,0,596,24,1700,1080,75,130,158,5,11,14,17,4,130,4,29,5,7,7
14,CONSTANŢA,"ANEXĂ ŞCOALA GIMNAZIALĂ NR.8",32,"MUNICIPIUL CONSTANŢA",60419,3,PART,PRCNCT,P,P_SV,"2024-06-10 10:19:27",835,832,0,3,0,371,368,0,3,0,355,16,900,529,23,74,114,0,12,6,9,2,71,7,23,1,10,3
