precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIUTA IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BURA NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POP GHEORGHE-GRIGORE-PARTIDUL NAȚIONAL LIBERAL-voturi"
32,"SATU MARE","CĂMIN CULTURAL GHERȚA MICĂ",204,"GHERŢA MICĂ",137746,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:24:17",1340,1318,0,9,13,515,493,0,9,13,503,12,1463,944,316,38,149
32,"SATU MARE","PRIMARIA COMUNEI",203,"GHERŢA MICĂ",137746,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:38:41",1594,1572,1,1,20,588,567,0,1,20,581,7,1729,1141,332,55,194
