precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GLIGA DUMITRIŢA-PARTIDUL SOCIAL DEMOCRAT-voturi","TOGĂNEL CRISTINA-MARA-PARTIDUL NAȚIONAL LIBERAL-voturi","PÉTER FERENC-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BIRO DANIEL-RĂZVAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GIURGIU ADRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MAŞCA DAN-SORIN-PARTIDUL OAMENILOR LIBERI-voturi","DEGAN AXENTE-CIPRIAN-PARTIDUL ROMÂNIA MARE-voturi","MÁTHÉ ZSOLT-PÉTER-voturi"
28,MUREŞ,"CAMIN CULTURAL",305,CHEŢANI,116046,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:03:45",468,449,1,11,7,288,270,0,11,7,276,12,498,210,43,60,73,32,50,1,11,6
28,MUREŞ,"CAMIN CULTURAL",400,GORNEŞTI,117177,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:42:50",89,83,0,6,0,38,32,0,6,0,34,4,100,62,1,2,30,1,0,0,0,0
28,MUREŞ,"CAMIN CULTURAL",320,COZMA,116224,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:16:24",115,86,0,5,24,86,57,0,5,24,77,5,100,18,20,48,3,5,1,0,0,0
28,MUREŞ,"CAMIN CULTURAL",401,GORNEŞTI,117177,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:58:47",353,337,0,3,13,262,246,0,3,13,256,6,390,128,2,1,250,2,1,0,0,0
28,MUREŞ,"CAMIN CULTURAL",471,"PAPIU ILARIAN",118637,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:09:09",688,667,1,2,18,461,441,0,2,18,447,14,757,296,66,9,280,86,4,1,1,0
28,MUREŞ,"CAMIN CULTURAL",338,CUCI,116439,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:50:22",139,127,0,7,5,89,77,0,7,5,85,4,147,58,50,12,1,17,3,0,1,1
28,MUREŞ,"CĂMIN CULTURAL",339,CUCI,116439,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:48:45",427,405,0,10,12,243,221,0,10,12,222,21,456,213,71,121,3,18,4,1,4,0
28,MUREŞ,"CĂMIN CULTURAL",290,BRÂNCOVENEŞTI,115897,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:48:50",369,361,0,4,4,188,180,0,4,4,173,15,400,212,59,17,12,63,11,2,9,0
28,MUREŞ,"CĂMIN CULTURAL",265,BĂLA,115600,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:53:29",387,340,2,4,41,303,258,0,4,41,274,29,422,119,57,167,2,20,12,4,12,0
28,MUREŞ,"CĂMIN CULTURAL",158,"ORAŞ IERNUT",117827,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:08:59",255,244,2,9,0,114,105,0,9,0,104,10,280,166,43,26,1,27,7,0,0,0
