precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
13,CLUJ,"ALUNISU NR.74 CAMINUL CULTURAL",619,SÂNCRAIU,59434,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:15:38",95,88,2,3,2,61,55,1,3,2,58,3,102,41,8,45,1,4
13,CLUJ,"DOMOSU NR.22 CAMINUL CULTURAL",620,SÂNCRAIU,59434,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:55:37",277,263,0,6,8,213,199,0,6,8,209,4,299,86,14,169,5,21
13,CLUJ,"ȘCOALA PROFESIONALĂ ADY ENDRE",618,SÂNCRAIU,59434,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:03:42",908,854,5,2,47,710,661,0,2,47,697,13,986,276,58,568,19,52
