precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BRATU MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ALEXANDRU MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi"
10,BUZĂU,"GRĂDINIȚA CU PROGRAM NORMAL SĂHĂTENI",344,SĂHĂTENI,49153,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:26:36",1301,1246,0,25,30,874,819,0,25,30,856,18,1458,584,398,458
10,BUZĂU,"ŞCOALA CLS.I-VIII VINTILEANCA",347,SĂHĂTENI,49153,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:32:09",696,652,0,6,38,460,416,0,6,38,452,8,660,200,265,187
10,BUZĂU,"ŞCOALA CU CLS.I-IV GĂGENI",345,SĂHĂTENI,49153,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:10:58",374,353,0,12,9,249,228,0,12,9,241,8,405,156,102,139
10,BUZĂU,"ŞCOALA CU CLS.I-IV ISTRIŢA DE JOS",346,SĂHĂTENI,49153,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:50",253,243,0,4,6,146,136,0,4,6,141,5,270,124,74,67
