precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MÁRTON LÁSZLÓ-SZILÁRD-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","KORPOS LEVENTE-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
21,HARGHITA,"ȘCOALA PRIMARĂ KÖLLŐ MIKLÓS",114,CIUMANI,84086,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:01:52",1307,1268,3,1,35,736,700,0,1,35,725,11,1400,664,392,333
21,HARGHITA,"ȘCOALA PRIMARĂ KÖLLŐ MIKLÓS",115,CIUMANI,84086,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:35",1155,1132,2,1,20,656,635,0,1,20,636,19,1294,638,361,275
21,HARGHITA,"ȘCOALA PRIMARA SZILÁGYI",116,CIUMANI,84086,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:54:58",1135,1109,3,4,19,650,628,0,4,18,635,13,1200,552,356,279
