precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RADU ADRIAN-voturi"
37,TIMIŞ,"PRIMĂRIA VOITEG",615,VOITEG,159339,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:27:14",1669,1611,17,24,17,953,904,8,24,17,916,37,1800,847,214,445,153,104
37,TIMIŞ,"ŞCOALA PRIMARĂ FOLEA",616,VOITEG,159339,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:38",390,372,0,11,7,240,222,0,11,7,231,9,420,180,44,155,15,17
