precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi"
17,DOLJ,"GRĂDINIȚA CU PROGRAM NORMAL VALEA LUI PĂTRU",481,SCĂEŞTI,74073,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:41:14",777,758,0,13,6,465,446,0,13,6,430,35,900,435,51,14,170,152,31,12
17,DOLJ,"ŞCOALA GENERALĂ SCAEŞTI",480,SCĂEŞTI,74073,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:52:16",917,844,0,31,42,677,604,0,31,42,651,26,903,226,176,51,273,48,19,84
