precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","ALIANȚA NAȚIONAL CREȘTINĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
7,BOTOŞANI,"BAZA SPORTIVĂ",404,VĂCULEŞTI,39612,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:29:07",814,766,0,14,34,505,457,0,14,34,477,28,900,395,130,4,184,122,7,2,23,5
7,BOTOŞANI,"BAZA SPORTIVĂ MULTIFUNCȚIONALĂ TIP I",332,POMÂRLA,38544,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:49:54",973,893,1,22,57,611,532,0,22,57,582,29,1000,389,305,17,162,42,2,3,3,48
7,BOTOŞANI,"CAMIN CULTURAL",231,DIMĂCHENI,39959,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:04:58",178,164,2,2,10,121,108,1,2,10,116,5,198,77,10,1,87,15,0,1,1,1
7,BOTOŞANI,"CAMIN CULTURAL",291,LOZNA,39942,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:37:30",717,710,0,4,3,355,348,0,4,3,324,31,800,445,109,4,125,33,6,3,17,27
7,BOTOŞANI,"CAMIN CULTURAL",290,LOZNA,39942,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:33",812,804,0,3,5,441,433,0,3,5,418,23,882,441,158,7,166,43,9,3,16,16
7,BOTOŞANI,"CAMIN CULTURAL",364,STĂUCENI,35884,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:42:01",1120,1111,0,2,7,578,569,0,2,7,546,32,1200,622,192,4,246,55,6,2,10,31
7,BOTOŞANI,"CĂMIN CULTURAL",277,HUDEŞTI,37770,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:39:41",919,872,0,6,41,523,476,0,6,41,486,37,996,473,304,11,142,24,0,1,3,1
7,BOTOŞANI,"CĂMIN CULTURAL",390,TUDORA,39391,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:58:16",1280,1239,1,9,31,709,669,0,9,31,631,78,1400,691,179,25,391,17,0,6,7,6
7,BOTOŞANI,"CAMIN CULTURAL ALBESTI",145,ALBEŞTI,36131,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:42:03",979,932,0,35,12,597,550,0,35,12,557,40,1000,403,280,24,218,6,1,7,14,7
7,BOTOŞANI,"CĂMIN CULTURAL BRĂEŞTI",166,BRĂEŞTI,36373,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:03:47",1133,1095,0,6,32,719,681,0,6,32,674,45,1200,481,243,15,216,136,39,0,15,10
7,BOTOŞANI,"CAMIN CULTURAL CALARASI",171,CĂLĂRAŞI,36499,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:56:04",970,923,1,6,40,559,515,0,6,38,507,52,1011,452,99,12,250,82,4,4,12,44
7,BOTOŞANI,"CĂMIN CULTURAL COTÂRGACI",356,ROMA,38811,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:42:31",682,673,1,6,2,208,200,0,6,2,198,10,702,494,82,1,91,13,0,2,5,4
