precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ZAMFIR ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TĂBĂRANA VICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","MANOLACHE VIOREL-CĂTĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ MOŞTENI",211,MOŞTENI,153384,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:23:43",499,449,0,21,29,383,333,0,21,29,376,7,524,141,12,284,80
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ MOȘTENI",210,MOŞTENI,153384,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:04:16",641,576,0,41,24,494,429,0,41,24,485,9,660,166,11,394,80
