precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
2,ARAD,"CĂMINUL CULTURAL CUVIN",270,GHIOROC,10872,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:14:26",1366,1355,4,4,3,672,664,1,4,3,652,20,1500,828,5,65,482,100
2,ARAD,"CĂMINUL CULTURAL MINIŞ",271,GHIOROC,10872,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:11:38",573,555,8,9,1,299,285,4,9,1,288,11,622,323,9,44,226,9
2,ARAD,"LICEUL TEHNOLOGIC VASILE JUNCU MINIȘ-CORP B",269,GHIOROC,10872,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:20:04",1609,1581,16,6,6,747,735,0,6,6,728,19,1760,1013,111,69,520,28
