precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BODNAR IONUŢ-ALIN-voturi","URSULEAN VASILE-voturi"
35,SUCEAVA,"CENTRU DE ASISTENTA DUPA PROGRAMUL SCOLAR TIP AFTER SCHOOL",241,BRODINA,147241,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:49:16",627,617,1,6,3,329,320,0,6,3,302,27,697,368,69,54,75,43,3,25,29,4,0,0
35,SUCEAVA,"GRADINITA CU PROGRAM NORMAL FALCAU",242,BRODINA,147241,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:56:20",1112,1106,0,3,3,588,582,0,3,3,560,22,1200,618,151,30,162,28,44,26,67,7,44,1
35,SUCEAVA,"SEDIUL NOU AL PRIMARIEI COMUNEI BRODINA",240,BRODINA,147241,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:18:35",1331,1321,1,2,7,813,803,1,2,7,782,31,1467,654,256,84,160,68,1,92,54,45,17,5
