precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA NAȚIONAL CREȘTINĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
7,BOTOŞANI,"CAMINUL CULTURAL NEGRENI",380,ŞTIUBIENI,39220,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:10:02",638,611,0,5,22,410,383,0,5,22,393,17,773,363,11,54,289,3,36
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ NR. 1 - ȘTIUBIENI",379,ŞTIUBIENI,39220,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:33:52",792,723,0,10,59,792,723,0,10,59,760,32,1613,821,105,233,318,49,55
