precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL VERDE-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ŢUGUI GHEORGHE-voturi","ŢIŢIRIGĂ DĂNUŢ-CRISTIAN-voturi","ARTENIE ADRIAN-voturi"
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",130,"ORAŞ MOLDOVA NOUĂ",51056,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:37",1267,1242,3,5,17,670,648,0,5,17,632,38,1367,697,90,225,35,123,35,4,55,43,9,13
11,CARAŞ-SEVERIN,"CĂMIN CULTURAL",131,"ORAŞ MOLDOVA NOUĂ",51056,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:18:22",168,162,0,6,0,106,100,0,6,0,103,3,179,73,23,8,3,35,8,0,11,1,7,7
11,CARAŞ-SEVERIN,"CASA DE CULTURĂ",121,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 17:37:34",875,860,0,4,11,478,463,0,4,11,434,28,949,487,84,38,26,170,16,2,40,5,45,8
11,CARAŞ-SEVERIN,"CENTRUL CULTURAL PENTRU TINERET",120,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:17:24",1253,1233,0,8,12,659,639,0,8,12,633,26,1367,708,166,46,30,236,25,5,67,8,35,15
11,CARAŞ-SEVERIN,"CENTRUL DE AFACERI - BIROUL TAXE ȘI IMPOZITE",123,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:02:37",1109,1089,1,14,5,489,470,0,14,5,473,16,1221,732,105,41,38,180,29,2,12,11,29,26
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL ”BAMBI”",122,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:06:07",519,508,0,6,5,301,290,0,6,5,290,11,559,255,104,27,24,69,6,2,25,3,25,5
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”CLISURA DUNĂRII” (CICLUL GIMNAZIAL)",126,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:28:23",942,928,0,12,2,391,377,0,12,2,380,11,1036,645,87,25,34,128,32,3,17,7,15,32
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”CLISURA DUNĂRII” (CICLUL LICEAL)",125,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:42:44",789,774,0,13,2,321,306,0,13,2,307,10,856,535,59,19,13,144,20,5,15,6,10,16
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”CLISURA DUNĂRII ” CORP C4- ȘCOALA CU 10 CLASE",128,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:31:15",1286,1269,2,12,3,475,460,0,12,3,453,22,1400,925,66,23,29,214,44,0,11,15,31,20
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC ”CLISURA DUNĂRII” MOLDOVA NOUĂ (CICLUL LICEAL-INTRARE ELEVI)",124,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:19:22",1051,1030,1,16,4,392,372,0,16,4,337,31,1136,713,63,28,0,166,22,0,10,5,12,31
11,CARAŞ-SEVERIN,"LICEUL TEHNOLOGIC „CLISURA DUNĂRII” MOLDOVA NOUĂ - SEDIUL ALIANȚEI PENSIONARILOR DIN ROMÂNIA-FILIALA MOLDOVA NOUĂ",127,"ORAŞ MOLDOVA NOUĂ",51056,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:00:11",925,898,1,10,16,364,338,0,10,16,355,9,989,625,71,29,18,154,14,5,29,6,18,11
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ ”SVETI PETAR I PAVLE/SFÂNTUL PETRU ŞI PAVEL”",129,"ORAŞ MOLDOVA NOUĂ",51056,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:56:17",432,420,0,4,8,259,247,0,4,8,247,12,461,202,13,37,16,126,42,0,3,2,7,1
