precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
32,"SATU MARE","CĂMIN CULTURAL COROD",190,CULCIU,137540,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:29:48",414,405,0,6,3,240,231,0,6,3,233,7,450,210,29,118,79,7,0
32,"SATU MARE","GRADINIŢA APATEU",188,CULCIU,137540,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:10:32",276,264,0,9,3,149,141,0,5,3,139,2,290,149,29,76,25,7,2
32,"SATU MARE","ŞCOALA DE GIMNAZIALĂ BEM JOZSEF CĂRĂŞEU",189,CULCIU,137540,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:48:15",948,916,0,7,25,549,517,0,7,25,526,23,1020,471,91,378,52,5,0
32,"SATU MARE","ŞCOALA PRIMARĂ CULCIU-MIC",191,CULCIU,137540,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:09:46",615,596,2,7,10,326,309,0,7,10,316,10,666,292,44,216,52,3,1
32,"SATU MARE","ŞCOALA PRIMARĂ LIPĂU",192,CULCIU,137540,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:15",428,417,4,3,4,231,222,2,3,4,223,8,460,229,45,20,34,100,24
32,"SATU MARE","SEDIUL CONSILIULUI LOCAL AL COMUNEI CULCIU",187,CULCIU,137540,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:41:28",689,673,0,7,9,396,380,0,7,9,376,13,750,361,102,148,116,9,1
