precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRĂGHICI ANTONIE-PARTIDUL NAȚIONAL LIBERAL-voturi","VASILE-BOTOFEI AURAŞ-PARTIDUL SOCIAL DEMOCRAT-voturi","MITRU NELU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ELIESCU PUIU-MARCU-UNIUNEA SALVAȚI ROMÂNIA-voturi","ONEA ANDREI-PARTIDUL MIȘCAREA POPULARĂ-voturi"
17,DOLJ,"GRADINITA ZĂNOAGA",388,LEU,72926,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:43",892,879,2,9,2,527,516,0,9,2,498,29,1000,473,25,202,116,137,18
17,DOLJ,"ȘCOALA GIMNAZIALĂ „ N.B. LOCUSTEANU ” - SALA A",386,LEU,72926,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:45:39",1382,1348,2,29,3,805,773,0,29,3,773,32,1473,668,122,358,238,38,17
17,DOLJ,"ȘCOALA GIMNAZIALĂ „N.B. LOCUSTEANU” - SALA B",387,LEU,72926,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:18:25",1495,1468,0,25,2,899,872,0,25,2,803,96,1600,701,138,333,263,45,24
