precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PĂTRAŞCU ROMEO-ALEXANDRU-voturi","VĂSINCA ANA-voturi","VIOR DUMITRU-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL TOPLEŢ",343,TOPLEŢ,54387,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:33:52",1163,1127,1,30,5,697,662,0,30,5,667,30,1238,541,73,295,122,97,38,26,1,15
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ BÂRZA",344,TOPLEŢ,54387,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:43:33",477,460,0,11,6,477,460,0,11,6,457,20,1080,603,28,175,73,140,32,5,1,3
