precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MECHENICI GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","CĂLIN MUGUREL-RADU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","JEANU DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi"
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ ”MIHAI EMINESCU” COSTINEŞTI",416,COSTINEŞTI,63286,5,PART,PRCNCT,P,P_SV,"2024-06-22 13:07:19",1013,979,7,18,9,678,644,7,18,9,660,13,1082,409,196,110,354
14,CONSTANŢA,"ŞCOALA PRIMARA” ION CREANGA” SCHITU",417,COSTINEŞTI,63286,4,PART,PRCNCT,P,P_SV,"2024-06-22 13:10:42",1955,1905,6,29,15,1271,1225,2,29,15,1251,20,1961,690,576,258,417
